id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
96566,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,3.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
96566,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,5.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
96567,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,8.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
97076,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,7.0,30.0,360.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,1,341,1
97078,2017,Hà Nội,Highlands Coffee,Yes,No,No,1.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97078,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97088,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
97090,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97091,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
97099,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97111,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,40.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97112,2017,Hà Nội,Highlands Coffee,Yes,No,No,3.0,40.0,320.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
97153,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97234,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
97473,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
97476,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,10.0,50.0,500.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
97493,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97497,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,100.0,200.0,Seg.04 - Super Premium (VND 100K+),2,1,4,214,2
97503,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,45.0,180.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
97506,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
97516,2017,Hà Nội,Starbucks,Yes,Yes,No,6.0,40.0,240.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
98052,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,4.0,100.0,400.0,Seg.04 - Super Premium (VND 100K+),3,3,4,334,3
98053,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,70.0,140.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
98280,2017,Cần Thơ,Trung Nguyên,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
100201,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,15.0,40.0,600.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
100268,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,55.0,220.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
100269,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,45.0,180.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
100512,2017,Hà Nội,Starbucks,Yes,Yes,No,6.0,60.0,960.0,Seg.03 - Premium (VND 60K - VND 99K),3,4,3,343,3
100512,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,4.0,60.0,960.0,Seg.03 - Premium (VND 60K - VND 99K),3,3,3,333,3
