id,city,dayofweek,visit_dayofweek,year,weekday_end,dayofweek_index
451840,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451840,Hồ Chí Minh,Friday,4.0,2018,Weekdays,5
451840,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
451840,Hồ Chí Minh,Saturday,5.0,2018,Weekends,6
451840,Hồ Chí Minh,Sunday,5.0,2018,Weekends,7
451840,Hồ Chí Minh,Monday,4.0,2018,Weekdays,1
451841,Hồ Chí Minh,Monday,5.0,2018,Weekdays,1
451841,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451841,Hồ Chí Minh,Saturday,5.0,2018,Weekends,6
451841,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
451841,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451841,Hồ Chí Minh,Friday,4.0,2018,Weekdays,5
451841,Hồ Chí Minh,Thursday,4.0,2018,Weekdays,4
451842,Hồ Chí Minh,Sunday,5.0,2018,Weekends,7
451842,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
451842,Hồ Chí Minh,Friday,4.0,2018,Weekdays,5
451842,Hồ Chí Minh,Monday,4.0,2018,Weekdays,1
451842,Hồ Chí Minh,Saturday,5.0,2018,Weekends,6
451842,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451842,Hồ Chí Minh,Thursday,4.0,2018,Weekdays,4
451843,Hồ Chí Minh,Monday,4.0,2018,Weekdays,1
451843,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451843,Hồ Chí Minh,Friday,4.0,2018,Weekdays,5
451843,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
451843,Hồ Chí Minh,Thursday,5.0,2018,Weekdays,4
451843,Hồ Chí Minh,Sunday,5.0,2018,Weekends,7
451843,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451845,Hồ Chí Minh,Sunday,2.0,2018,Weekends,7
451845,Hồ Chí Minh,Friday,2.0,2018,Weekdays,5
451845,Hồ Chí Minh,Thursday,2.0,2018,Weekdays,4
451845,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451846,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
451847,Hà Nội,Sunday,4.0,2018,Weekends,7
451847,Hà Nội,Saturday,4.0,2018,Weekends,6
451848,Hà Nội,Friday,5.0,2018,Weekdays,5
451848,Hà Nội,Thursday,5.0,2018,Weekdays,4
451849,Hà Nội,Sunday,4.0,2018,Weekends,7
451850,Hà Nội,Sunday,3.0,2018,Weekends,7
451850,Hà Nội,Tuesday,4.0,2018,Weekdays,2
451850,Hà Nội,Saturday,4.0,2018,Weekends,6
451851,Hà Nội,Thursday,2.0,2018,Weekdays,4
451851,Hà Nội,Saturday,3.0,2018,Weekends,6
451851,Hà Nội,Sunday,3.0,2018,Weekends,7
451852,Hà Nội,Monday,5.0,2018,Weekdays,1
