ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Fre#visit,PPA,Spending,Segmentation,NPS#P3M,NPS#P3M#Group,Spending_use
134544,2017,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,9.0,Promoter,
454195,2018,Đà Nẵng,Nia cafe,,Nia cafe,Nia cafe,,,,,,,,,,,,,
416160,2018,Cần Thơ,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
454721,2018,Nha Trang,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,1.0,39.0,39.0,Seg.02 - Mass Asp (VND 25K - VND 59K),8.0,Passive,39.0
134422,2017,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,,,,,,,,,
746432,2019,Đà Nẵng,The Coffee House,The Coffee House,The Coffee House,The Coffee House,,,Know a little,,,,,,,,,,
393048,2018,Hà Nội,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,,,,
830680,2019,Hà Nội,Street,,Street,,,,Know a little,,,,,,,,,,
436002,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),,5.0,15.0,75.0,Seg.01 - Mass (<VND 25K),9.0,Promoter,75.0
827808,2019,Hải Phòng,Milano,Milano,Milano,Milano,Milano,Milano,Know it very well,Milano,Not Applicable,Not Applicable,3.0,20.0,60.0,Seg.01 - Mass (<VND 25K),9.0,Promoter,60.0
460191,2018,Hà Nội,Runam cafe,,Runam cafe,Runam cafe,,,,,,,,,,,,,
747694,2019,Hà Nội,Street,,Street,Street,Street,Street,Know it very well,,Not Applicable,Not Applicable,1.0,30.0,30.0,Seg.02 - Mass Asp (VND 25K - VND 59K),10.0,Promoter,30.0
371498,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),Street / Half street coffee (including carts),18.0,25.0,450.0,Seg.02 - Mass Asp (VND 25K - VND 59K),7.0,Passive,450.0
433239,2018,Hồ Chí Minh,Phúc Long,,Phúc Long,Phúc Long,,,,,,,,,,,,,
797241,2019,Hà Nội,Aha Cafe,,Aha Cafe,Aha Cafe,Aha Cafe,,Know a little,Aha Cafe,,,,,,,7.0,Passive,
138383,2017,Hồ Chí Minh,The Coffee House,,The Coffee House,The Coffee House,The Coffee House,,,,,,,,,,9.0,Promoter,
820110,2019,Hải Phòng,Other 1,Other,Other,Other,Other,,Know it well,,,,,,,,9.0,Promoter,
774936,2019,Hồ Chí Minh,Viva Star,,Viva Star,,,,Know a little,,,,,,,,,,
813857,2019,Đà Nẵng,Phúc Long,,Phúc Long,Phúc Long,,,Know it very well,Phúc Long,,,,,,,,,
799018,2019,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,Know a little,,,,,,,,,,
132406,2017,Cần Thơ,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,,15.0,,,,,,
138867,2017,Hà Nội,The Coffee House,,The Coffee House,,,,,,,,,,,,,,
439015,2018,Hồ Chí Minh,Starbucks,,Starbucks,,,,,,,,,,,,,,
828868,2019,Hà Nội,Highlands Coffee,,Highlands Coffee,,,,Know a little,,,,,,,,,,
104633,2017,Hà Nội,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
133409,2017,Hồ Chí Minh,Thức Coffee,,Thức Coffee,Thức Coffee,,,,,,,,,,,,,
94204,2017,Cần Thơ,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,2.0,,,,,,
135148,2017,Hà Nội,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),,,,,,,,,,,,,,
795315,2019,Nha Trang,Other 1,Other,Other,Other,Other,Other,Know it well,Other,Other,Not Applicable,15.0,18.0,270.0,Seg.01 - Mass (<VND 25K),8.0,Passive,270.0
780186,2019,Hồ Chí Minh,Street,Street,Street,Street,Street,Street,Know it very well,Street,Street,Not Applicable,4.0,10.0,40.0,Seg.01 - Mass (<VND 25K),,,40.0
453561,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,2.0,12.0,24.0,Seg.01 - Mass (<VND 25K),7.0,Passive,24.0
457153,2018,Đà Nẵng,Thức Coffee,,Thức Coffee,,,,,,,,,,,,,,
760248,2019,Cần Thơ,Street,Street,Street,Street,Street,Street,Know it very well,Street,Street,Street,30.0,20.0,600.0,Seg.01 - Mass (<VND 25K),,,600.0
367084,2018,Cần Thơ,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
112522,2017,Hải Phòng,Saigon Café,,Saigon Café,,,,,,,,,,,,,,
141299,2017,Hồ Chí Minh,Maxx Coffee,,Maxx Coffee,,,,,,,,,,,,,,
452378,2018,Hồ Chí Minh,Viva Star,,Viva Star,,,,,,,,,,,,,,
816567,2019,Đà Nẵng,Street,Street,Street,Street,Street,Street,Know it well,,Not Applicable,Not Applicable,2.0,10.0,20.0,Seg.01 - Mass (<VND 25K),8.0,Passive,20.0
798895,2019,Đà Nẵng,Mộc Miên,,Mộc Miên,Mộc Miên,Mộc Miên,,Know it well,Mộc Miên,,,,,,,6.0,Detractor,
449992,2018,Hải Phòng,Starbucks,Starbucks,Starbucks,Starbucks,Starbucks,,,,,,,,,,8.0,Passive,
435597,2018,Hải Phòng,Other 2,Other 2,Other 2,Other 2,,,,,,,,,,,,,
790619,2019,Hà Nội,Highlands Coffee,,Highlands Coffee,Highlands Coffee,Highlands Coffee,,Know it very well,Highlands Coffee,,,,,,,9.0,Promoter,
823783,2019,Hồ Chí Minh,The Coffee House,,The Coffee House,,,,Know a little,,,,,,,,,,
790859,2019,Hồ Chí Minh,Other 2,Other,Other,,,,Know it well,Other,,,,,,,,,
818269,2019,Hà Nội,Other 1,Other,Other,Other,Other,Other,Know it well,Other,Not Applicable,Not Applicable,2.0,35.0,70.0,Seg.02 - Mass Asp (VND 25K - VND 59K),,,70.0
756192,2019,Hồ Chí Minh,Other 1,Other,Other,Other,Other,Other,Know it very well,Other,Not Applicable,Not Applicable,2.0,25.0,50.0,Seg.02 - Mass Asp (VND 25K - VND 59K),,,50.0
427010,2018,Hải Phòng,Cộng Cà Phê,,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,,,,
367081,2018,Cần Thơ,Other 2,Other 2,Other 2,Other 2,Other 2,,,,,,,,,,7.0,Passive,
828586,2019,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,Know a little,,,,,,,,,,
119598,2017,Hồ Chí Minh,KOI cafe,,KOI cafe,,,,,,,,,,,,,,
456260,2018,Hồ Chí Minh,Thức Coffee,,Thức Coffee,,,,,,,,,,,,,,
801277,2019,Hà Nội,Starbucks,,Starbucks,,,,Know a little,,,,,,,,,,
450797,2018,Hà Nội,Milano,,Milano,,,,,,,,,,,,,,
